Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18,Col 19,Col 20
0.965407205,0.325235999,0.86512162,0.614285613,0.222255145,0.575946544,0.231402821,0.681386649,0.517103154,0.679634275,0.693788781,0.575021227,0.180728006,0.680331364,0.895084939,0.47704634,0.542004858,0.483025254,0.38816012,0.486676082
0.301187815,0.195492881,0.299202926,0.032313255,0.788408099,0.29467289,0.369810779,0.586086688,0.469978696,0.315589417,0.538410868,0.284304763,0.975142309,0.35742476,0.713437766,0.415842902,0.543725217,0.883275132,0.552690245,0.647865169
0.314684299,0.075564396,0.262860689,0.198651239,0.398343281,0.628168367,0.080078814,0.805341983,0.272845339,0.853956568,0.495091522,0.72019845,0.433635171,0.151328671,0.802913077,0.330908376,0.574134766,0.923512576,0.262361611,0.063138814
0.912251022,0.542658561,0.280399991,0.32664723,0.775581018,0.299644541,0.887288092,0.946286552,0.11518835,0.771201842,0.605145959,0.356102902,0.55157884,0.564430183,0.428435821,0.34853881,0.157204466,0.094347679,0.769356419,0.737296252
0.617177869,0.315484492,0.243953135,0.905870693,0.880875172,0.36815616,0.709896401,0.181097731,0.107790279,0.84183182,0.951268184,0.82896923,0.129700186,0.598130055,0.819743684,0.678377069,0.871556961,0.312018519,0.18532078,0.113801495
0.210482134,0.036144254,0.178490172,0.622889199,0.438300669,0.078887854,0.936103243,0.98167236,0.138385113,0.336054189,0.675237336,0.025786119,0.508097083,0.736143984,0.359549242,0.700440165,0.504149494,0.002128971,0.965957073,0.320740856
0.053056074,0.32857395,0.145121378,0.724831298,0.431643968,0.265654432,0.589446139,0.415012881,0.132711792,0.693742884,0.746233554,0.764832242,0.398366014,0.090824449,0.296094775,0.317007236,0.134888319,0.992572004,0.842748058,0.699137496
0.492317961,0.0341657,0.998267762,0.701294941,0.940196136,0.12298942,0.6971602,0.136747919,0.036158143,0.812019682,0.499030308,0.884933688,0.349139359,0.613835086,0.920134866,0.697703844,0.767895854,0.531708794,0.54261496,0.182598351
0.921585749,0.285027838,0.143106367,0.931879686,0.698806431,0.079341799,0.941025508,0.769338695,0.073959556,0.312954568,0.00868907,0.11035,0.241930088,0.240344661,0.478556563,0.003260355,0.074744463,0.97914437,0.592544145,0.935508533
0.085210183,0.696037301,0.787501161,0.240487695,0.909355994,0.805823344,0.815066379,0.762864471,0.890299976,0.307355361,0.201809776,0.383143883,0.613003357,0.833089648,0.631688128,0.978131532,0.822957041,0.37918656,0.5755387,0.168584618
