Sales Order Number	Quantity	Unit List Price	Production Order Number	Customer for-Order	Order Date	Commit Date	Ship Date	Throughput	Days Late	Late Flag	Component A Inven	Component B Inven	Component C Inven	Component D Inven	Late Code	Routing to Work Center	Work Center Sequence	AAAA-Actual Labor	AAAB-Actual Labor	AAAC-Actual Labor	AAAD-Actual Labor	AAAE-Actual Labor	AAAF-Actual Labor	AAAG-Actual Labor	AAAH-Actual Labor	AAAI-Actual Labor	AAAJ-Actual Labor	AAAK-Actual Labor	AAAL-Actual Labor	AAAM-Actual Labor	AAAN-Actual Labor	AAAO-Actual Labor	AAAP-Actual Labor	AAAQ-Actual Labor	AAAR-Actual Labor	AAAS-Actual Labor	AAAT-Actual Labor	AAAU-Actual Labor	Average Hourly Labor Rate	Component A Unit Cost	Component A Lead Time	Component B unit Cost	Component B Lead Time	Component C Unit Cost	Component C Lead Time	Component D Unit Cost	Component D Lead Time	Delivery Number	Carrier	Base Freight	Premium 	Total Freight Cost	Total Labor Cost	Total Material Cost	QTY X List Price	Gross Margin
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
O-10047	12	650	P-10047	1	5/28/2011	6/27/2011	6/30/2011	33	3.128457338	Late	36.53262685	4.830645118	264.3845447	867.6427039	Credit Hold on Customer	R-21	AAAL-AAAM-AAAN-AAAO-AAAP-AAAQ-AAAR-AAAS-AAAT-AAAU	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	36	3	17	5	5	25	2	30	10	40	20	D-10047	CarrierA	1000	500	1500	12852	1200	7800	-7752
